bannerId	firstName	lastName	uniqueId
834326	Suzi	Creswell	creswess
143838	Gabriell	Prandin	prandigs
512592	Dorree	Guerrier	guerridc
280614	Mira	Geraghty	geraghme
979536	Jim	Freddi	freddijj
131252	Jocko	Mounch	mounchjc
494966	Emmaline	Elvish	elvished
343216	Bridget	Hagwood	hagwoobd
699851	Susi	Trundell	trundesz
442900	Avivah	Harbord	harboraf
845092	Giffie	Civitillo	civitigo
124867	Jenifer	Sorley	sorleyjs
551124	Alasteir	Cowie	cowieah
563641	Elbert	Karmel	karmeles
505691	Sydelle	Bison	bisonsa
946903	Benjamin	Avrahamof	avrahabe
797114	Phillie	Beneteau	benetepa
557499	Harwilll	Beglin	beglinhc
971319	Jasen	Varey	vareyjx
251174	Roberta	O'Hear	ohearrd
538951	Nari	Shugg	shuggnb
701069	Brooke	Andrin	andrinbh
212720	Norman	Gedge	gedgenr
355259	Kyrstin	Moiser	moiserkt
263761	Marjory	O'Hagerty	ohagemc
459716	Kimberly	Bernaert	bernaekj
651351	Melina	Howlett	howletma
728127	Sharline	Bottrell	bottresz
424431	Kendre	Ivanov	ivanovkj
330256	Karrie	Glassborow	glassbki
